 Name                       Version      License                              
 Jinja2                     3.1.4        BSD License                          
 MarkupSafe                 2.1.5        BSD License                          
 PyYAML                     6.0.1        MIT License                          
 Pygments                   2.18.0       BSD License                          
 altgraph                   0.17.2       MIT License                          
 appnope                    0.1.4        BSD License                          
 asttokens                  2.4.1        Apache 2.0                           
 attrs                      23.2.0       MIT License                          
 backcall                   0.2.0        BSD License                          
 bandit                     1.7.9        Apache Software License              
 beautifulsoup4             4.12.3       MIT License                          
 bleach                     6.1.0        Apache Software License              
 certifi                    2024.7.4     Mozilla Public License 2.0 (MPL 2.0) 
 charset-normalizer         3.3.2        MIT License                          
 decorator                  5.1.1        BSD License                          
 defusedxml                 0.7.1        Python Software Foundation License   
 docopt                     0.6.2        MIT License                          
 executing                  2.0.1        MIT License                          
 fastjsonschema             2.20.0       BSD License                          
 future                     0.18.2       MIT License                          
 idna                       3.7          BSD License                          
 importlib_metadata         8.1.0        Apache Software License              
 ipython                    8.12.3       BSD License                          
 jedi                       0.19.1       MIT License                          
 jsonschema                 4.23.0       MIT License                          
 jsonschema-specifications  2023.12.1    MIT License                          
 jupyter_client             8.6.2        BSD License                          
 jupyter_core               5.7.2        BSD License                          
 jupyterlab_pygments        0.3.0        BSD License                          
 macholib                   1.15.2       MIT License                          
 markdown-it-py             3.0.0        MIT License                          
 matplotlib-inline          0.1.7        BSD License                          
 mdurl                      0.1.2        MIT License                          
 mistune                    3.0.2        BSD License                          
 nbclient                   0.10.0       BSD License                          
 nbconvert                  7.16.4       BSD License                          
 nbformat                   5.10.4       BSD License                          
 packaging                  24.1         Apache Software License; BSD License 
 pandocfilters              1.5.1        BSD License                          
 parso                      0.8.4        MIT License                          
 pbr                        6.0.0        Apache Software License              
 pexpect                    4.9.0        ISC License (ISCL)                   
 pickleshare                0.7.5        MIT License                          
 pipreqs                    0.5.0        Apache Software License              
 platformdirs               4.2.2        MIT License                          
 prompt_toolkit             3.0.47       BSD License                          
 ptyprocess                 0.7.0        ISC License (ISCL)                   
 pure_eval                  0.2.3        MIT License                          
 python-dateutil            2.9.0.post0  Apache Software License; BSD License 
 pyzmq                      26.0.3       BSD License                          
 referencing                0.35.1       MIT License                          
 requests                   2.32.3       Apache Software License              
 rich                       13.7.1       MIT License                          
 rpds-py                    0.19.0       MIT License                          
 six                        1.15.0       MIT License                          
 soupsieve                  2.5          MIT License                          
 stack-data                 0.6.3        MIT License                          
 stevedore                  5.2.0        Apache Software License              
 tinycss2                   1.3.0        BSD License                          
 tornado                    6.4.1        Apache Software License              
 traitlets                  5.14.3       BSD License                          
 typing_extensions          4.12.2       Python Software Foundation License   
 urllib3                    2.2.2        MIT License                          
 webencodings               0.5.1        BSD License                          
 yarg                       0.1.9        MIT License                          
 zipp                       3.19.2       MIT License  
